Description,Reference,Quantity,Part Number
Micro USB Connector,N/A,1,609-4613-1-ND
LED BLUE CLEAR 0805 SMD,D4,1,732-4982-1-ND
IC CONTROLLR LI-ION 4.2V SOT23-5,U4,1,MCP73831T-2ACI/OTCT-ND
RETAINER 2450 COIN CELL SMD,N/A,1,BK-877-ND
CAP CER 1UF 25V X7R 0805,"C1,C2,C3,C4,C6,C7,C8,C9,C10,C11,C12",11,311-1456-1-ND
DIODE SCHOTTKY 30V 500MA SOD123,"D1,D2,D3",3,MBR0530CT-ND
MOSFET N-CH 30V 3.8A SOT23,Q1,1,785-1012-1-ND
FIXED IND 68UH 1A 403 MOHM SMD,L1,1,445-173056-1-ND
CAP CER 4.7UF 25V X7R 0805,"C5,C13,C14,C15",4,311-3509-1-ND
RES SMD 3 OHM 5% 1/8W 0805,R7,1,311-3.0ARCT-ND
RES SMD 470 OHM 5% 1/8W 0805,R9,1,311-470ARCT-ND
RES SMD 2K OHM 5% 1/8W 0805,R10,1,YAG1322CT-ND
24 PIN FFC/FPC CONNECTOR,J2,1,609-4321-1-ND
IC REG LINEAR 3.3V 1A SOT223,U3,1,AP2114H-3.3TRG1DICT-ND
RES SMD 10K OHM 5% 1/8W 0805,"R1,R2,R3,R4,R5,R6,R8",7,311-10KARCT-ND
SWITCH TACTILE SPST-NO 0.05A 24V,N/A,1,450-1650-ND
ESP-12 MODULE,U1,1,N/A
LI-ION RECHARGEABLE COIN CELL LIR2450,N/A,1,N/A
"2.9"" E-PAPER DISPLAY GDEH029A1",N/A,1,N/A
