"Designator","Package","Quantity","Value"
"R1,R2,R3,R4,R5,R6,R10","0805",7,"10K"
"R7","0805",1,"3"
"R9","0805",1,"2K"
"R8","0805",1,"100K"
"C1,C2,C3,C4,C6,C7,C8,C9,C10,C11,C12","0805",11,"1uF"
"C5,C13,C14,C15","0805",4,"4.7uF"
"L1","1210",1,"68uH"
"D1,D2,D3,D5","SOD-123",4,"MBR0520"
"D4","0805",1,"LED"
"Q1","SOT-23",1,"AO3418"
"Q2","SOT-23",1,"FDN340P"
"U1","ESP-12",1,"ESP-12"
"U2","SOT-23-5",1,"MCP73831"
"U3","SOT-223-3",1,"AP1117"
"J2","24_Pins_0.5mm_Pitch_ZIF_Connector",1,"24_Pins_0.5mm_Pitch_ZIF_Connector"
"J3","Micro_USB",1,"USB"
"SW1","Slide Switch",1,"POWER"
"SW2","5-Way Tactile Switch",1,"5-Way Tactile Switch"
"BT1","2450",1,"Battery_Cell"
"EPD","2.9inch 296x128",1,"https://www.waveshare.com/2.9inch-e-paper.htm"
